DATA PRODUK / INVENTARIS — CV BETON AGUNG;;;;;;;;;;;
Wajib diisi | * = Kolom wajib diisi | Stok Awal berdasarkan Stock Opname fisik;;;;;;;;;;;
;;;;;;;;;;;
?  Kolom bertanda (*) WAJIB diisi. Kode Barang (SKU) harus unik. Hapus baris contoh (abu-abu) sebelum diserahkan ke tim IT.;;;;;;;;;;;
Kategori Produk;Kode Barang (SKU)*;Nama Barang*;Spesifikasi / Ukuran;Satuan Utama*;Harga Beli / HPP (Rp)*;Harga Jual (Rp)*;Stok Awal (Fisik)*;Stok Minimum;Lokasi / Gudang;Keterangan Tambahan;
Roster;;Roster Lubang 2;20×20×10 cm;Pcs;;25.000 ;;;;;
Roster;;Roster Abstrak Segitiga;20×20×10 cm;Pcs;;25.000;;;;;
Roster;;Roster Abstrak Garis Miring;20×20×10 cm;Pcs;;25.000;;;;;
Roster;;Roster Bintang;20×20×10 cm;Pcs;;25.000;;;;;
Roster;;Roster Lubang Siku;20×20×10 cm;Pcs;;25.000;;;;;
Roster;;Roster Lubang Siku Tengah Kotak;20×20×10 cm;Pcs;;25.000;;;;;
Roster;;Roster Segitiga Zig Zag;20×20×10 cm;Pcs;;25.000;;;;;
Roster;;Roster Lubang 4;20×20×10 cm;Pcs;;25.000;;;;;
Roster;;Roster Lubang 5;20×20×10 cm;Pcs;;25.000;;;;;
Roster Persegi Panjang;;Roster Lengkung 15×30;15×30×10 cm;Pcs;;25.000;;;;;
Roster Persegi Panjang;;Roster Kotak 15×30;15×30×10 cm;Pcs;;25.000;;;;;
Roster Persegi Panjang;;Roster 17×30;17×30×10 cm;Pcs;;30.000;;;;;
Roster Persegi Panjang;;Roster 17x35;17×35×10 cm;Pcs;;35.000;;;;;
Roster Persegi Panjang;;Roster 15×40;15×40×10 cm;Pcs;;35.000;;;;;
Roster Persegi Panjang;;Roster 20×40;20×40×10 cm;Pcs;;40.000;;;;;
Lisplang;;Lisplang 3 cm;3 × 100 cm;Meter;;30.000;;;;;
Lisplang;;Lisplang 5 cm;5 x 100 cm;Meter;;40.000;;;;;
Lisplang;;Lisplang 8 cm;8 × 100 cm;Meter;;50.000;;;;;
Lisplang;;Lisplang 10 cm;10 x 100 cm;Meter;;60.000;;;;;
Lisplang;;Lisplang 12 cm;12 × 100 cm;Meter;;70.000;;;;;
Lisplang;;Lisplang 14 cm;14 x 100 cm;Meter;;80.000;;;;;
Lisplang;;Lisplang 16 cm;16 × 100 cm;Meter;;90.000;;;;;
Lisplang;;Lisplang 18 cm;18 x 100 cm;Meter;;110.000;;;;;
Lisplang;;Lisplang 20 cm;20 × 100 cm;Meter;;125.000;;;;;
Lisplang;;Lisplang 25 cm;25 x 100 cm;Meter;;140.000;;;;;
Lisplang;;Lisplang 30 cm;30 × 100 cm;Meter;;150.000;;;;;
Lisplang;;Lisplang 40 cm;40 x 100 cm;Meter;;160.000;;;;;
Lisplang;;Lisplang 50 cm;50 × 100 cm;Meter;;170.000;;;;;
Lisplang;;Lisplang 55 cm;55 x 100 cm;Meter;;175.000;;;;;
